VSP_w,fc_on,mot_control,HVAC_adjust_rate,t_value,delta_elec_energy_rate
-60000,0,1,1.108611967,245.7201891,554.3059835
-59000,0,1,1.108611967,245.7201891,554.3059835
-58000,0,1,1.108611967,245.7201891,554.3059835
-57000,0,1,1.108611967,245.7201891,554.3059835
-56000,0,1,1.108611967,245.7201891,554.3059835
-55000,0,1,1.108611967,245.7201891,554.3059835
-54000,0,1,1.108611967,245.7201891,554.3059835
-53000,0,1,1.108611967,245.7201891,554.3059835
-52000,0,1,1.108611967,245.7201891,554.3059835
-51000,0,1,1.108611967,245.7201891,554.3059835
-50000,0,1,1.108611967,245.7201891,554.3059835
-49000,0,1,1.108611967,245.7201891,554.3059835
-48000,0,1,1.108611967,245.7201891,554.3059835
-47000,0,1,1.108611967,245.7201891,554.3059835
-46000,0,1,1.108611967,245.7201891,554.3059835
-45000,0,1,1.108611967,245.7201891,554.3059835
-44000,0,1,1.108611967,245.7201891,554.3059835
-43000,0,1,1.108611967,245.7201891,554.3059835
-42000,0,1,1.108611967,245.7201891,554.3059835
-41000,0,1,1.108611967,245.7201891,554.3059835
-40000,0,1,1.108611967,245.7201891,554.3059835
-39000,0,1,1.108611967,245.7201891,554.3059835
-38000,0,1,1.108611967,245.7201891,554.3059835
-37000,0,1,1.108611967,245.7201891,554.3059835
-36000,0,1,1.108611967,245.7201891,554.3059835
-35000,0,1,1.108611967,245.7201891,554.3059835
-34000,0,1,1.108611967,245.7201891,554.3059835
-33000,0,1,1.108611967,245.7201891,554.3059835
-32000,0,1,1.108611967,245.7201891,554.3059835
-31000,0,1,1.108611967,245.7201891,554.3059835
-30000,0,1,1.108611967,245.7201891,554.3059835
-29000,0,1,1.108611967,245.7201891,554.3059835
-28000,0,1,1.108611967,245.7201891,554.3059835
-27000,0,1,1.108611967,245.7201891,554.3059835
-26000,0,1,1.108611967,245.7201891,554.3059835
-25000,0,1,1.108611967,245.7201891,554.3059835
-24000,0,1,1.108611967,245.7201891,554.3059835
-23000,0,1,1.108611967,245.7201891,554.3059835
-22000,0,1,1.108611967,245.7201891,554.3059835
-21000,0,1,1.108611967,245.7201891,554.3059835
-20000,0,1,1.108611967,245.7201891,554.3059835
-19000,0,1,1.108611967,245.7201891,554.3059835
-18000,0,1,1.108611967,245.7201891,554.3059835
-17000,0,1,1.108611967,245.7201891,554.3059835
-16000,0,1,1.108611967,245.7201891,554.3059835
-15000,0,1,1.108611967,245.7201891,554.3059835
-14000,0,1,1.108611967,245.7201891,554.3059835
-11000,0,1,1.108611967,245.7201891,554.3059835
-12000,0,1,1.108611967,245.7201891,554.3059835
-13000,0,1,1.108611967,245.7201891,554.3059835
-8000,0,1,1.108611967,245.7201891,554.3059835
-9000,0,1,1.108611967,245.7201891,554.3059835
-10000,0,1,1.108611967,245.7201891,554.3059835
-5000,0,1,1.108611967,245.7201891,554.3059835
-6000,0,1,1.108611967,245.7201891,554.3059835
-7000,0,1,1.108611967,245.7201891,554.3059835
-2000,0,1,1.108611967,245.7201891,554.3059835
-3000,0,1,1.108611967,245.7201891,554.3059835
-4000,0,1,1.108611967,245.7201891,554.3059835
1000,0,1,1.108611967,245.7201891,554.3059835
0,0,1,1.108611967,245.7201891,554.3059835
-1000,0,1,1.108611967,245.7201891,554.3059835
4000,0,1,1.26751541,378.5428239,633.757705
3000,0,1,1.26751541,378.5428239,633.757705
2000,0,1,1.26751541,378.5428239,633.757705
7000,0,1,1.26751541,378.5428239,633.757705
6000,0,1,1.26751541,378.5428239,633.757705
5000,0,1,1.26751541,378.5428239,633.757705
10000,0,1,1.26751541,378.5428239,633.757705
9000,0,1,1.26751541,378.5428239,633.757705
8000,0,1,1.26751541,378.5428239,633.757705
13000,0,1,1.26751541,378.5428239,633.757705
12000,0,1,1.26751541,378.5428239,633.757705
11000,0,1,1.26751541,378.5428239,633.757705
19000,0,1,1.26751541,378.5428239,633.757705
18000,0,1,1.26751541,378.5428239,633.757705
17000,0,1,1.26751541,378.5428239,633.757705
20000,0,1,1.26751541,378.5428239,633.757705
21000,0,1,1.26751541,378.5428239,633.757705
22000,0,1,1.26751541,378.5428239,633.757705
23000,0,1,1.26751541,378.5428239,633.757705
24000,0,1,1.26751541,378.5428239,633.757705
25000,0,1,1.26751541,378.5428239,633.757705
26000,0,1,1.26751541,378.5428239,633.757705
27000,0,1,1.26751541,378.5428239,633.757705
28000,0,1,1.26751541,378.5428239,633.757705
29000,0,1,1.26751541,378.5428239,633.757705
30000,0,1,1.26751541,378.5428239,633.757705
31000,0,1,1.26751541,378.5428239,633.757705
32000,0,1,1.26751541,378.5428239,633.757705
33000,0,1,1.26751541,378.5428239,633.757705
34000,0,1,1.26751541,378.5428239,633.757705
35000,0,1,1.26751541,378.5428239,633.757705
36000,0,1,1.26751541,378.5428239,633.757705
37000,0,1,1.26751541,378.5428239,633.757705
38000,0,1,1.26751541,378.5428239,633.757705
39000,0,1,1.26751541,378.5428239,633.757705
40000,0,1,1.26751541,378.5428239,633.757705
41000,0,1,1.26751541,378.5428239,633.757705
42000,0,1,1.26751541,378.5428239,633.757705
43000,0,1,1.26751541,378.5428239,633.757705
44000,0,1,1.26751541,378.5428239,633.757705
45000,0,1,1.26751541,378.5428239,633.757705
46000,0,1,1.26751541,378.5428239,633.757705
47000,0,1,1.26751541,378.5428239,633.757705
48000,0,1,1.26751541,378.5428239,633.757705
49000,0,1,1.26751541,378.5428239,633.757705
50000,0,1,1.26751541,378.5428239,633.757705
51000,0,1,1.26751541,378.5428239,633.757705
52000,0,1,1.26751541,378.5428239,633.757705
53000,0,1,1.26751541,378.5428239,633.757705
54000,0,1,1.26751541,378.5428239,633.757705
55000,0,1,1.26751541,378.5428239,633.757705
56000,0,1,1.26751541,378.5428239,633.757705
57000,0,1,1.26751541,378.5428239,633.757705
58000,0,1,1.26751541,378.5428239,633.757705
59000,0,1,1.26751541,378.5428239,633.757705
60000,0,1,1.26751541,378.5428239,633.757705